using,ram,screen,capacity,fre,core
421.7,3,6.22,3260,2,8
416.3,3,6.22,3260,2,8
402.1,3,6.22,3260,2,8
369.4,3,6.22,3260,2,8
385.2,3,6.22,3260,2,8
432.8,3,6.22,3260,2,8
416.6,3,6.22,3260,2,8
411.6,3,6.22,3260,2,8
387.6,3,6.22,3260,2,8
399.2,3,6.22,3260,2,8
416.5,3,6.22,3260,2,8
447.2,3,6.22,3260,2,8
436.1,3,6.22,3260,2,8
408.5,3,6.22,3260,2,8
425.8,3,6.22,3260,2,8
390.3,3,6.22,3260,2,8
437.6,3,6.22,3260,2,8
405.2,3,6.22,3260,2,8
385.6,3,6.22,3260,2,8
440.7,3,6.22,3260,2,8
439.5,3,6.22,3260,2,8
391.2,3,6.22,3260,2,8
431.8,3,6.22,3260,2,8
417.4,3,6.22,3260,2,8
452.8,3,6.22,3260,2,8
425.3,3,6.22,3260,2,8
392.6,3,6.22,3260,2,8
397.9,3,6.22,3260,2,8
428.5,3,6.22,3260,2,8
407.3,3,6.22,3260,2,8
405.1,3,6.22,3260,2,8
431.4,3,6.22,3260,2,8
408.3,3,6.22,3260,2,8
410.9,3,6.22,3260,2,8
398.1,3,6.22,3260,2,8
437.4,3,6.22,3260,2,8
413.9,3,6.22,3260,2,8
425.9,3,6.22,3260,2,8
445.8,3,6.22,3260,2,8
438.7,3,6.22,3260,2,8
443.6,3,6.22,3260,2,8
393.8,3,6.22,3260,2,8
417.5,3,6.22,3260,2,8
410.6,3,6.22,3260,2,8
425.6,3,6.22,3260,2,8
391.5,3,6.22,3260,2,8
428.7,3,6.22,3260,2,8
389.9,3,6.22,3260,2,8
430.6,3,6.22,3260,2,8
424.2,3,6.22,3260,2,8
436.8,3,6.22,3260,2,8
418.6,3,6.22,3260,2,8
436.7,3,6.22,3260,2,8
401.9,3,6.22,3260,2,8
435.4,3,6.22,3260,2,8
419.9,3,6.22,3260,2,8
422.5,3,6.22,3260,2,8
446.2,3,6.22,3260,2,8
399.7,3,6.22,3260,2,8
437.1,3,6.22,3260,2,8
425.4,3,6.22,3260,2,8
402.9,3,6.22,3260,2,8
434.2,3,6.22,3260,2,8
432.5,3,6.22,3260,2,8
442.3,3,6.22,3260,2,8
414.2,3,6.22,3260,2,8
396.7,3,6.22,3260,2,8
421.3,3,6.22,3260,2,8
443.9,3,6.22,3260,2,8
408.4,3,6.22,3260,2,8
418.8,3,6.22,3260,2,8
469.8,8,6.1,3800,2.86,8
476.5,8,6.1,3800,2.86,8
467.9,8,6.1,3800,2.86,8
424.7,8,6.1,3800,2.86,8
441.1,8,6.1,3800,2.86,8
487.5,8,6.1,3800,2.86,8
473.4,8,6.1,3800,2.86,8
471.4,8,6.1,3800,2.86,8
438.4,8,6.1,3800,2.86,8
450.3,8,6.1,3800,2.86,8
468.1,8,6.1,3800,2.86,8
494.6,8,6.1,3800,2.86,8
483.1,8,6.1,3800,2.86,8
455.8,8,6.1,3800,2.86,8
471.8,8,6.1,3800,2.86,8
443.6,8,6.1,3800,2.86,8
484.5,8,6.1,3800,2.86,8
459.8,8,6.1,3800,2.86,8
440.4,8,6.1,3800,2.86,8
487.3,8,6.1,3800,2.86,8
486.2,8,6.1,3800,2.86,8
444.7,8,6.1,3800,2.86,8
477.4,8,6.1,3800,2.86,8
464.2,8,6.1,3800,2.86,8
511.7,8,6.1,3800,2.86,8
482.5,8,6.1,3800,2.86,8
450.7,8,6.1,3800,2.86,8
456.1,8,6.1,3800,2.86,8
486.4,8,6.1,3800,2.86,8
464.6,8,6.1,3800,2.86,8
469.5,8,6.1,3800,2.86,8
457.6,8,6.1,3800,2.86,8
486.2,8,6.1,3800,2.86,8
461.7,8,6.1,3800,2.86,8
464.9,8,6.1,3800,2.86,8
452.9,8,6.1,3800,2.86,8
492.5,8,6.1,3800,2.86,8
468.4,8,6.1,3800,2.86,8
480.4,8,6.1,3800,2.86,8
498.3,8,6.1,3800,2.86,8
491.4,8,6.1,3800,2.86,8
496.6,8,6.1,3800,2.86,8
446.5,8,6.1,3800,2.86,8
470.6,8,6.1,3800,2.86,8
465.9,8,6.1,3800,2.86,8
480.6,8,6.1,3800,2.86,8
445.8,8,6.1,3800,2.86,8
481.7,8,6.1,3800,2.86,8
443.6,8,6.1,3800,2.86,8
481.7,8,6.1,3800,2.86,8
475.3,8,6.1,3800,2.86,8
487.8,8,6.1,3800,2.86,8
462.8,8,6.1,3800,2.86,8
498.6,8,6.1,3800,2.86,8
460.7,8,6.1,3800,2.86,8
497.1,8,6.1,3800,2.86,8
485.4,8,6.1,3800,2.86,8
462.0,8,6.1,3800,2.86,8
494.2,8,6.1,3800,2.86,8
461.0,8,6.1,3800,2.86,8
495.7,8,6.1,3800,2.86,8
489.2,8,6.1,3800,2.86,8
498.0,8,6.1,3800,2.86,8
477.7,8,6.1,3800,2.86,8
495.7,8,6.1,3800,2.86,8
457.3,8,6.1,3800,2.86,8
485.4,8,6.1,3800,2.86,8
478.4,8,6.1,3800,2.86,8
494.2,8,6.1,3800,2.86,8
481.7,8,6.1,3800,2.86,8
488.2,8,6.1,3800,2.86,8
